"Factor","coef","exp.coef.","se.coef.","z","Pr...z.."
"Factor4",-0.140206976559217,0.869178317242579,0.0392943416820863,-3.56812127541343,0.000359550086908822
"Factor5",-0.113545073108335,0.892663960365018,0.0387434361557764,-2.93069186356631,0.00338208070389727
"Factor10",0.119691370336824,1.12714892629863,0.0574192479026938,2.08451651160008,0.0371132098934252
"Factor3",0.0846136065420319,1.08829647480846,0.0432268921698392,1.95742979184309,0.0502969586961808
"Factor1",0.0709210538839992,1.07349647414582,0.0387098946454433,1.83211694409371,0.066933999451219
"Factor8",-0.0544443040854033,0.947011252046837,0.0505294846085963,-1.07747594314748,0.281267692527692
"Factor7",0.0374340588276728,1.03814353842276,0.0530917357436424,0.705082595310616,0.48075883710036
"Factor6",-0.0301490579679907,0.97030089168951,0.0433475199989324,-0.695519789107504,0.486729613957025
"Factor9",0.0258468455056143,1.02618377178088,0.0588460588793467,0.439228148797673,0.660496230692302
"Factor2",-0.00364460806002769,0.996362025462618,0.0379515892058636,-0.0960330815201959,0.923494298720633
