"id","data_format","cases","access","file_name","submitter_id","data_category","type","platform","file_size","created_datetime","md5sum","updated_datetime","file_id","data_type","state","experimental_strategy","version","data_release","project","analysis_id","analysis_state","analysis_submitter_id","analysis_workflow_link","analysis_workflow_type","analysis_workflow_version","sample_type","is_ffpe","cases.submitter_id","sample.submitter_id"
"68da136d-e152-4e4d-8589-36fd1a774b8e","TXT","TCGA-B6-A0IK-01A-12D-A10P-05","open","efbe7d9d-d6bd-460f-a13d-73ffdfe5f50a.methylation_array.sesame.level3betas.txt","49c11739-33a2-4b45-8298-51c8c78a297d","DNA Methylation","methylation_beta_value","Illumina Human Methylation 450",12819377,"2023-07-14T13:25:21.428205-05:00","ab880966afb323a150e557b6f3706399","2023-07-18T10:27:13.549896-05:00","68da136d-e152-4e4d-8589-36fd1a774b8e","Methylation Beta Value","released","Methylation Array","2","38.0 - 45.0","TCGA-BRCA","31000112-0597-4b63-96c0-5bc423e4d112","released","efbe7d9d-d6bd-460f-a13d-73ffdfe5f50a","quay.io/ncigdc","SeSAMe Methylation Beta Estimation","dc9467b78cf538a0430cd4027dc5092f77d47e20","Primary Tumor",NA,"TCGA-B6-A0IK","TCGA-B6-A0IK-01A"
"b7f0cde9-7a4d-4b44-9a2e-d670e4f891ed","TXT","TCGA-D8-A27R-01A-11D-A16G-05","open","443861a5-e868-4d04-854d-fcf47bbeb5d0.methylation_array.sesame.level3betas.txt","5700a23d-51d1-4b8f-a508-0c533fbb19b4","DNA Methylation","methylation_beta_value","Illumina Human Methylation 450",13112322,"2023-07-14T13:33:25.067244-05:00","72bb34a184f340f5ac4d2783e2b83272","2023-07-18T10:27:32.153438-05:00","b7f0cde9-7a4d-4b44-9a2e-d670e4f891ed","Methylation Beta Value","released","Methylation Array","2","38.0 - 45.0","TCGA-BRCA","9cdc840b-0609-4460-b228-f605aa3b6e2b","released","443861a5-e868-4d04-854d-fcf47bbeb5d0","quay.io/ncigdc","SeSAMe Methylation Beta Estimation","dc9467b78cf538a0430cd4027dc5092f77d47e20","Primary Tumor",NA,"TCGA-D8-A27R","TCGA-D8-A27R-01A"
"5f5126d8-8413-49a1-ad7f-6fde20e12d46","TXT","TCGA-E9-A22G-01A-11D-A161-05","open","28f8a2c5-0bd4-474a-aa74-f170b4f9cba0.methylation_array.sesame.level3betas.txt","73c8b4ff-3df2-47ea-b48d-5040cb5c75c1","DNA Methylation","methylation_beta_value","Illumina Human Methylation 450",12796047,"2023-07-14T13:39:03.472483-05:00","fece55904e8d6338b23cb38d644d2935","2023-07-18T10:27:25.044378-05:00","5f5126d8-8413-49a1-ad7f-6fde20e12d46","Methylation Beta Value","released","Methylation Array","2","38.0 - 45.0","TCGA-BRCA","2e56aff0-7240-4ee8-82e7-8789aca64c48","released","28f8a2c5-0bd4-474a-aa74-f170b4f9cba0","quay.io/ncigdc","SeSAMe Methylation Beta Estimation","dc9467b78cf538a0430cd4027dc5092f77d47e20","Primary Tumor",NA,"TCGA-E9-A22G","TCGA-E9-A22G-01A"
"991d441b-aa84-4ff3-b5f7-36448224a658","TXT","TCGA-A2-A4RW-01A-21D-A268-05","open","76e9cd4b-3d5b-4e4c-b706-a8d15ce8d513.methylation_array.sesame.level3betas.txt","388a11ca-46af-4775-b66c-a63a34ae100b","DNA Methylation","methylation_beta_value","Illumina Human Methylation 450",13057583,"2023-07-14T13:20:44.462338-05:00","fdd7fcfd2b35e0506e2b69aa7df754fd","2023-07-18T10:27:06.699354-05:00","991d441b-aa84-4ff3-b5f7-36448224a658","Methylation Beta Value","released","Methylation Array","2","38.0 - 45.0","TCGA-BRCA","c7ebb40f-0a4a-44d7-bae7-3aebc34b46fa","released","76e9cd4b-3d5b-4e4c-b706-a8d15ce8d513","quay.io/ncigdc","SeSAMe Methylation Beta Estimation","f8ef9dc6375573fc05fee47b70278d89f79a4cd7","Primary Tumor",NA,"TCGA-A2-A4RW","TCGA-A2-A4RW-01A"
"7d6b7411-54af-4d77-89c8-551cb44043d3","TXT","TCGA-BH-A0BZ-11A-61D-A12R-05","open","eb5b35df-0277-49c4-803e-0ccc2545aa2a.methylation_array.sesame.level3betas.txt","ed4af79a-4bee-4852-bf20-9ccb3e6359e0","DNA Methylation","methylation_beta_value","Illumina Human Methylation 450",13122388,"2023-07-14T13:29:02.289556-05:00","38cf0cde52d63a67ebe1b347995317e3","2023-07-18T10:26:37.817614-05:00","7d6b7411-54af-4d77-89c8-551cb44043d3","Methylation Beta Value","released","Methylation Array","2","38.0 - 45.0","TCGA-BRCA","ebe439da-d5b5-439a-8c80-c19fda7f27d9","released","eb5b35df-0277-49c4-803e-0ccc2545aa2a","quay.io/ncigdc","SeSAMe Methylation Beta Estimation","dc9467b78cf538a0430cd4027dc5092f77d47e20","Solid Tissue Normal",NA,"TCGA-BH-A0BZ","TCGA-BH-A0BZ-11A"
"5c762004-330d-44b8-9ca7-9dd157009f9b","TXT","TCGA-BH-A1FE-11B-14D-A13T-05","open","272aaf82-6a11-48c8-a195-c67f5d2c7179.methylation_array.sesame.level3betas.txt","a03abc41-ca55-4548-b032-1608f144e604","DNA Methylation","methylation_beta_value","Illumina Human Methylation 450",13190846,"2023-07-14T13:42:27.927276-05:00","63d21fb7b03c05c5690e24bf393a2d16","2023-07-18T10:25:28.070673-05:00","5c762004-330d-44b8-9ca7-9dd157009f9b","Methylation Beta Value","released","Methylation Array","2","38.0 - 45.0","TCGA-BRCA","be151601-94cf-4bd0-b5d9-cfe313decc8b","released","272aaf82-6a11-48c8-a195-c67f5d2c7179","quay.io/ncigdc","SeSAMe Methylation Beta Estimation","f8ef9dc6375573fc05fee47b70278d89f79a4cd7","Solid Tissue Normal",NA,"TCGA-BH-A1FE","TCGA-BH-A1FE-11B"
"d9b12eaf-f336-4a58-888d-d5fc44677cce","TXT","TCGA-A1-A0SH-01A-11D-A10P-05","open","0c39af8b-d9c8-49b5-a244-bd585051012c.methylation_array.sesame.level3betas.txt","6dac8c09-ae28-4f07-93db-799781cc139a","DNA Methylation","methylation_beta_value","Illumina Human Methylation 450",13054694,"2023-07-14T13:11:10.854901-05:00","7e5ec867ad6d2fdfcc5af5fbd47585c7","2023-07-18T10:27:02.381924-05:00","d9b12eaf-f336-4a58-888d-d5fc44677cce","Methylation Beta Value","released","Methylation Array","2","38.0 - 45.0","TCGA-BRCA","23aaae92-8dea-46ce-9ff2-f9c2ddc3f82d","released","0c39af8b-d9c8-49b5-a244-bd585051012c","quay.io/ncigdc","SeSAMe Methylation Beta Estimation","f8ef9dc6375573fc05fee47b70278d89f79a4cd7","Primary Tumor",NA,"TCGA-A1-A0SH","TCGA-A1-A0SH-01A"
"7faf514e-0d2e-4dc8-98dc-2d723d21a356","TXT","TCGA-BH-A1EN-11A-23D-A13T-05","open","2ee148f9-f142-417b-85e4-f689380e1315.methylation_array.sesame.level3betas.txt","045eacc8-9c63-42c3-bd70-ab4b8151aa8e","DNA Methylation","methylation_beta_value","Illumina Human Methylation 450",13180295,"2023-07-14T13:27:02.054185-05:00","7aaa92a7bee98643d008241ef77f5c6f","2023-07-18T10:27:26.044906-05:00","7faf514e-0d2e-4dc8-98dc-2d723d21a356","Methylation Beta Value","released","Methylation Array","2","38.0 - 45.0","TCGA-BRCA","d97aab18-5011-4140-9eb3-775783769fa9","released","2ee148f9-f142-417b-85e4-f689380e1315","quay.io/ncigdc","SeSAMe Methylation Beta Estimation","dc9467b78cf538a0430cd4027dc5092f77d47e20","Solid Tissue Normal",NA,"TCGA-BH-A1EN","TCGA-BH-A1EN-11A"
"7e25b571-718e-446b-acbd-87b72ba24aa6","TXT","TCGA-BH-A1EN-01A-11D-A13K-05","open","01fb64b9-66cb-40cb-b0a8-4ef814d9a475.methylation_array.sesame.level3betas.txt","f568f453-ddda-4548-a53f-b779867a1d17","DNA Methylation","methylation_beta_value","Illumina Human Methylation 450",13140328,"2023-07-14T13:19:48.326817-05:00","55bcee4cceb2bcb7055c172157d52db1","2023-07-18T10:25:20.737861-05:00","7e25b571-718e-446b-acbd-87b72ba24aa6","Methylation Beta Value","released","Methylation Array","2","38.0 - 45.0","TCGA-BRCA","ba6c6800-0d72-4cbf-8b4b-44132052599d","released","01fb64b9-66cb-40cb-b0a8-4ef814d9a475","quay.io/ncigdc","SeSAMe Methylation Beta Estimation","9e258094ac9d4febe3721ceba25c1b8dbd1a27f8","Primary Tumor",NA,"TCGA-BH-A1EN","TCGA-BH-A1EN-01A"
"4a8279f6-d8a4-43bb-ad0f-ba4dac669edd","TXT","TCGA-A2-A3XT-01A-11D-A230-05","open","06f794d7-14e0-4776-bdab-72ce2e6a2904.methylation_array.sesame.level3betas.txt","6f5de441-43a4-4862-b5af-0c0205a7d7d9","DNA Methylation","methylation_beta_value","Illumina Human Methylation 450",13098666,"2023-07-14T13:18:50.132023-05:00","a9f59e36fb80a8dcb6bef7ecbf047ce6","2023-07-18T10:26:06.118023-05:00","4a8279f6-d8a4-43bb-ad0f-ba4dac669edd","Methylation Beta Value","released","Methylation Array","2","38.0 - 45.0","TCGA-BRCA","63a0524c-1314-4873-8930-6b328402d0fe","released","06f794d7-14e0-4776-bdab-72ce2e6a2904","quay.io/ncigdc","SeSAMe Methylation Beta Estimation","dc9467b78cf538a0430cd4027dc5092f77d47e20","Primary Tumor",NA,"TCGA-A2-A3XT","TCGA-A2-A3XT-01A"
