id	filename	md5	size	state
a65cfffe-590b-4438-85be-a2afa33c2731	a65cfffe-590b-4438-85be-a2afa33c2731/f8add3d4-158d-4348-b6eb-261ee60c1de3.methylation_array.sesame.level3betas.txt	0cfd5580c282e8f97d399ae1af4ca7b2	13190500	validated
280ada1c-d3e2-4d35-a120-9d8699811d54	280ada1c-d3e2-4d35-a120-9d8699811d54/449a4af2-5c23-4d1c-ab4a-c05e829ac864.methylation_array.sesame.level3betas.txt	d25bbf70ab1ded6701abd8bd78496cf9	12933881	validated
e00bb8bb-f804-48a3-bddd-046d298433d6	e00bb8bb-f804-48a3-bddd-046d298433d6/92fb57b9-4c7a-4564-bd93-3a0375c0340c.methylation_array.sesame.level3betas.txt	9a17657cee8382f64ae9d152d5f16dd9	13192255	validated
a726cd3b-503c-40c9-bcd3-ab4d0f8c1c7a	a726cd3b-503c-40c9-bcd3-ab4d0f8c1c7a/f9b7a8db-4e15-436b-b28d-1f1983aa2707.methylation_array.sesame.level3betas.txt	7821d7772af33cb13d28b76b2c8db50c	12648720	validated
0166a42c-e905-490e-a07a-dd084b3c4534	0166a42c-e905-490e-a07a-dd084b3c4534/ef0c17dd-be28-4c1c-9ced-9f328b6c423a.methylation_array.sesame.level3betas.txt	639f13269d936975cd0d3b90acb213ac	12975008	validated
02d581a7-c62d-4217-abd2-078abd36dfbf	02d581a7-c62d-4217-abd2-078abd36dfbf/4177437e-8deb-45bc-add9-582c102c5201.methylation_array.sesame.level3betas.txt	ead2cd33b6e6fcaa4730b0a505dccf24	13140899	validated
80dae6a4-019d-4b49-9bfc-bebba62d7137	80dae6a4-019d-4b49-9bfc-bebba62d7137/e0aec478-1580-4885-b759-fc2fcdc80b3b.methylation_array.sesame.level3betas.txt	90e493022650d51cfeb1d95856030e71	13154732	validated
35944c9a-034f-4ebb-94e7-a47e40cf2647	35944c9a-034f-4ebb-94e7-a47e40cf2647/3ba0a627-ba6b-4a50-8e66-eab95c538a36.methylation_array.sesame.level3betas.txt	014a216de612351e73f93f840be76e3b	13157247	validated
89cc5cc7-3535-4fa5-b697-3962123396af	89cc5cc7-3535-4fa5-b697-3962123396af/1badfdfb-6939-48b2-b149-c97ceee33454.methylation_array.sesame.level3betas.txt	39b2de9c0d27d6af20978c56436e778f	13198452	validated
e2d4d43c-28c7-4d96-b175-01fa0e85bb2a	e2d4d43c-28c7-4d96-b175-01fa0e85bb2a/42135178-8214-4621-a7a4-878fc04d606f.methylation_array.sesame.level3betas.txt	0d6a8b615c7bad4285e4c9553082eea4	13140392	validated
4481a7a3-6020-44b0-accf-294d4a7090fb	4481a7a3-6020-44b0-accf-294d4a7090fb/aaf186e4-54de-4e12-9eac-8e997f59930c.methylation_array.sesame.level3betas.txt	b5a96fc0781418e4b1e530ef1dfe6d65	13193853	validated
61779828-7783-4c9a-b193-44c799a6515e	61779828-7783-4c9a-b193-44c799a6515e/5a815176-dc04-4a89-8e3c-fae32df2d5a8.methylation_array.sesame.level3betas.txt	8c7c8cfbeddb4731e9a98714e3f916d8	12824737	validated
611405de-da55-43f9-a3b7-ef94042c2c40	611405de-da55-43f9-a3b7-ef94042c2c40/cf7a9cd7-4ede-4bdc-bcbf-f0c30e6d816a.methylation_array.sesame.level3betas.txt	84f1a1f580e314cc96c3a5dcde223614	13170954	validated
15b80b89-f335-4414-b3c3-2902deb94a3b	15b80b89-f335-4414-b3c3-2902deb94a3b/35c1140b-3426-488f-a663-ea35c0febfbe.methylation_array.sesame.level3betas.txt	a36d7d1ddf175e4756bb2312ed86af88	13193493	validated
1c260082-f43e-4d33-8906-5f445b05cb1c	1c260082-f43e-4d33-8906-5f445b05cb1c/2c0e0943-0e1c-457a-8fc0-40aae901c2d8.methylation_array.sesame.level3betas.txt	f91325f305fdbb2fed61f9ae0366b497	13128309	validated
3cf2683d-a34f-4199-95d7-4d70fbe82d3c	3cf2683d-a34f-4199-95d7-4d70fbe82d3c/bcb40aa7-8222-40bd-9397-d9d0ee7e1642.methylation_array.sesame.level3betas.txt	46b4d87e201cdc9e5b18c9f6573e1706	13123286	validated
08dd9feb-fa89-4a01-9b53-d755cbb68920	08dd9feb-fa89-4a01-9b53-d755cbb68920/40da0bc2-3ac9-48a7-b17a-aa1cfdf6a6c4.methylation_array.sesame.level3betas.txt	118b1532e632b772cace305670bae61b	13171333	validated
a6c812a6-6107-4e9f-9d7e-e1cea3c6bc63	a6c812a6-6107-4e9f-9d7e-e1cea3c6bc63/203e085e-453e-4842-9fa0-b994d8261187.methylation_array.sesame.level3betas.txt	987b69b6e222f2204a7b6bbbb056450c	13170949	validated
226e5f5d-2ac6-45de-878c-2ddd6c3a7cd6	226e5f5d-2ac6-45de-878c-2ddd6c3a7cd6/4101630d-120b-4a72-9a7b-bb723fc47ff5.methylation_array.sesame.level3betas.txt	2e5fdc81efa7dc64333a4d5fd49c5cb9	12706433	validated
9d8af9f2-5615-4a09-a15b-0d179187d56e	9d8af9f2-5615-4a09-a15b-0d179187d56e/46bb3dd3-f1b2-45eb-a9a0-b48756df0ee3.methylation_array.sesame.level3betas.txt	9a20ae42c8dcebd5c53a1b52f08f295a	13102072	validated
1878d6c8-147a-423c-993c-cb0adcbb9ca5	1878d6c8-147a-423c-993c-cb0adcbb9ca5/cb673b51-22fa-4cae-8bb2-a6bf9158a956.methylation_array.sesame.level3betas.txt	9cb6de8b2ef70ec9194283c5070ea8be	12719846	validated
d3cdefe5-20eb-4e51-b1a2-0aa1e20221dd	d3cdefe5-20eb-4e51-b1a2-0aa1e20221dd/8eaeefb9-d56f-4c40-a302-820922904025.methylation_array.sesame.level3betas.txt	40e08b7fa1e6d705e93525db035c71c4	13124791	validated
72fd27ae-32f6-45f8-934d-a9bcae32700b	72fd27ae-32f6-45f8-934d-a9bcae32700b/fe829c72-470e-4ea9-9fd1-57e1f6661ba5.methylation_array.sesame.level3betas.txt	85b586aae3cdc69152c3b78822be08fa	12963758	validated
6ce74f33-595c-4241-8155-50fe7cf741cd	6ce74f33-595c-4241-8155-50fe7cf741cd/524fa18d-d6dc-407b-adc7-bd60d0afed08.methylation_array.sesame.level3betas.txt	6364f4a30b0d5ff83a18ceef1e44f444	13099252	validated
a02a0f94-cc33-473d-afa4-5e37271ab5f7	a02a0f94-cc33-473d-afa4-5e37271ab5f7/e2a1ad0a-b9ed-49f1-bcd0-804233751455.methylation_array.sesame.level3betas.txt	acd8e7841d82f67235a49a0a16a65062	13182503	validated
b88337da-3afc-490b-818a-72eb9698bcdd	b88337da-3afc-490b-818a-72eb9698bcdd/dd3583ae-4d31-4b91-a89b-256fed3c156b.methylation_array.sesame.level3betas.txt	ec4f603d3b568c7da105cb497058d1b1	13180722	validated
01caf592-57be-4df0-913b-efda8dd88def	01caf592-57be-4df0-913b-efda8dd88def/7d118736-8504-45ac-8b08-14278223d47f.methylation_array.sesame.level3betas.txt	a5dc391c2351c5b90344907c7d42687b	13059031	validated
9f73a252-001a-4999-89ae-e9b5d696e42c	9f73a252-001a-4999-89ae-e9b5d696e42c/7fcb1019-2e56-48a6-9f11-857a2271c516.methylation_array.sesame.level3betas.txt	20b633113c193a9240a3734d92125622	12605134	validated
a1724427-03a6-4d9d-9bb2-f20b8a76eb66	a1724427-03a6-4d9d-9bb2-f20b8a76eb66/3d57bf69-1ff4-4050-a873-1fa6eeb4038b.methylation_array.sesame.level3betas.txt	32bf2840099bcc0ae1e42c58bb03452e	13128684	validated
b6e43e4a-acfb-420a-89a1-e6aa420ab2ef	b6e43e4a-acfb-420a-89a1-e6aa420ab2ef/f69e6f47-094c-4511-981d-e130ece93431.methylation_array.sesame.level3betas.txt	d16243057676830e2940109e38c40487	13118200	validated
7b703258-92be-46ba-9de8-16ac64d9c256	7b703258-92be-46ba-9de8-16ac64d9c256/a79070cf-1d49-4131-bf1a-4e4d26580c10.methylation_array.sesame.level3betas.txt	20b3b625b5209c00446ebad68d6bb152	13203710	validated
4c786428-2647-49a8-bc07-8f5f4e9bcbf4	4c786428-2647-49a8-bc07-8f5f4e9bcbf4/52e942b0-50d5-4761-b34d-8aff184e489e.methylation_array.sesame.level3betas.txt	da9156db2711b94514161254b3e1c71c	13150640	validated
c23d9f60-daf9-4462-a071-e24e92b49a38	c23d9f60-daf9-4462-a071-e24e92b49a38/0efea531-7af0-4c57-a195-659c1c6c7b8b.methylation_array.sesame.level3betas.txt	19007cb550a9bde9099e532ad8b7f61f	12998668	validated
